"true_Nc","target_fis","n_sample_prop","n_loci","method","num_N_hypothesized","N_try_max_factor","mean_bias","median_bias","rmse","cv"
150,0.001,0.2,1000,"betabin",15,3,-0.84,-0.84,126,0
150,0.001,0.2,1000,"betabin",15,6,-0.84,-0.84,126,0
150,0.001,0.2,1000,"betabin",51,3,-0.84,-0.84,126,0
150,0.001,0.2,1000,"betabin",51,6,-0.84,-0.84,126,0
150,0.001,0.2,1000,"betabin_dynamic",15,3,NA,NA,NA,NA
150,0.001,0.2,1000,"betabin_dynamic",15,6,NA,NA,NA,NA
150,0.001,0.2,1000,"betabin_dynamic",51,3,NA,NA,NA,NA
150,0.001,0.2,1000,"betabin_dynamic",51,6,NA,NA,NA,NA
150,0.001,0.2,1000,"bhd",15,3,-0.785186683417085,-0.786033333333333,117.780134766077,0.022565980732919
150,0.001,0.2,1000,"bhd",15,6,-0.746561666666667,-0.7467,111.985762962307,0.0157102691747239
150,0.001,0.2,1000,"bhd",51,3,-0.801418458961474,-0.800983333333333,120.213486916493,0.0143114318443628
150,0.001,0.2,1000,"bhd",51,6,-0.795773902847571,-0.796416666666667,119.368072822394,0.0230693366330087
150,0.001,0.2,1000,"wasserstein",15,3,-0.826836247906198,-0.827066666666667,124.025634280162,0.00873368375719354
150,0.001,0.2,1000,"wasserstein",15,6,-0.829785,-0.829733333333333,124.468132161409,0.0123941364930408
150,0.001,0.2,1000,"wasserstein",51,3,-0.829829120603015,-0.829791122278057,124.47452244884,0.00787919609695005
150,0.001,0.2,1000,"wasserstein",51,6,-0.829278308207705,-0.82935,124.391840902457,0.00614862869349863
150,0.001,0.2,5000,"betabin",15,3,-0.84,-0.84,126,0
150,0.001,0.2,5000,"betabin",15,6,-0.84,-0.84,126,0
150,0.001,0.2,5000,"betabin",51,3,-0.84,-0.84,126,0
150,0.001,0.2,5000,"betabin",51,6,-0.84,-0.84,126,0
150,0.001,0.2,5000,"betabin_dynamic",15,3,NA,NA,NA,NA
150,0.001,0.2,5000,"betabin_dynamic",15,6,NA,NA,NA,NA
150,0.001,0.2,5000,"betabin_dynamic",51,3,NA,NA,NA,NA
150,0.001,0.2,5000,"betabin_dynamic",51,6,NA,NA,NA,NA
150,0.001,0.2,5000,"bhd",15,3,-0.786541546546547,-0.78678009676343,117.981658585428,0.0101664098297196
150,0.001,0.2,5000,"bhd",15,6,-0.747757715382049,-0.74725021021021,112.164147954625,0.00899612155922602
150,0.001,0.2,5000,"bhd",51,3,-0.802077395061728,-0.801743333333333,120.311760800169,0.00659911030835834
150,0.001,0.2,5000,"bhd",51,6,-0.794476509843177,-0.794386666666667,119.171560573185,0.004711684549815
150,0.001,0.2,5000,"wasserstein",15,3,-0.827270288955622,-0.827357053720387,124.090592157333,0.00435849373512568
150,0.001,0.2,5000,"wasserstein",15,6,-0.829772684017351,-0.829696666666667,124.465962389711,0.00490186907775427
150,0.001,0.2,5000,"wasserstein",51,3,-0.829709702702703,-0.829756666666667,124.456484546968,0.00342087490083223
150,0.001,0.2,5000,"wasserstein",51,6,-0.829479569235902,-0.82951,124.421952014101,0.00258025936078808
150,0.001,0.3,1000,"betabin",15,3,-0.76,-0.76,114,0
150,0.001,0.3,1000,"betabin",15,6,-0.76,-0.76,114,0
150,0.001,0.3,1000,"betabin",51,3,-0.76,-0.76,114,0
150,0.001,0.3,1000,"betabin",51,6,-0.76,-0.76,114,0
150,0.001,0.3,1000,"betabin_dynamic",15,3,NA,NA,NA,NA
150,0.001,0.3,1000,"betabin_dynamic",15,6,0.8,0.8,120,NA
150,0.001,0.3,1000,"betabin_dynamic",51,3,NA,NA,NA,NA
150,0.001,0.3,1000,"betabin_dynamic",51,6,NA,NA,NA,NA
150,0.001,0.3,1000,"bhd",15,3,-0.685536666666667,-0.685883333333333,102.831628354315,0.0104779623758961
150,0.001,0.3,1000,"bhd",15,6,-0.63699,-0.636716666666667,95.549474841571,0.00813248764477198
150,0.001,0.3,1000,"bhd",51,3,-0.716531666666667,-0.717166666666667,107.481447672377,0.0145763693987408
150,0.001,0.3,1000,"bhd",51,6,-0.696753333333333,-0.697816666666667,104.514728423797,0.0135574487551317
150,0.001,0.3,1000,"wasserstein",15,3,-0.730413333333333,-0.730483333333333,109.563103883105,0.0124783206156121
150,0.001,0.3,1000,"wasserstein",15,6,-0.731331666666667,-0.7309,109.700932864083,0.0129693098753884
150,0.001,0.3,1000,"wasserstein",51,3,-0.73936,-0.739533333333333,110.904209658606,0.00565914766649251
150,0.001,0.3,1000,"wasserstein",51,6,-0.725716666666667,-0.72595,108.858689639367,0.0126911373877862
150,0.001,0.3,5000,"betabin",15,3,-0.76,-0.76,114,0
150,0.001,0.3,5000,"betabin",15,6,-0.76,-0.76,114,0
150,0.001,0.3,5000,"betabin",51,3,-0.76,-0.76,114,0
150,0.001,0.3,5000,"betabin",51,6,-0.76,-0.76,114,0
150,0.001,0.3,5000,"betabin_dynamic",15,3,NA,NA,NA,NA
150,0.001,0.3,5000,"betabin_dynamic",15,6,NA,NA,NA,NA
150,0.001,0.3,5000,"betabin_dynamic",51,3,NA,NA,NA,NA
150,0.001,0.3,5000,"betabin_dynamic",51,6,NA,NA,NA,NA
150,0.001,0.3,5000,"bhd",15,3,-0.685466178845512,-0.68557,102.820174438412,0.00490703292269781
150,0.001,0.3,5000,"bhd",15,6,-0.637432666666667,-0.637276666666667,95.6149868315632,0.00243094402940302
150,0.001,0.3,5000,"bhd",51,3,-0.717468,-0.7175,107.620479432123,0.0059371720841507
150,0.001,0.3,5000,"bhd",51,6,-0.696140666666667,-0.69623,104.421273940706,0.00429026662309324
150,0.001,0.3,5000,"wasserstein",15,3,-0.731137633633634,-0.731066666666667,109.671060830291,0.00768266802614436
150,0.001,0.3,5000,"wasserstein",15,6,-0.730147333333333,-0.73022,109.522478375446,0.0072970605706252
150,0.001,0.3,5000,"wasserstein",51,3,-0.739384,-0.73948,110.907635279092,0.00232166870012953
150,0.001,0.3,5000,"wasserstein",51,6,-0.726734,-0.726976666666667,109.010288290143,0.00507135117507119
150,0.001,0.5,1000,"betabin",15,3,-0.6,-0.6,90,0
150,0.001,0.5,1000,"betabin",15,6,-0.6,-0.6,90,0
150,0.001,0.5,1000,"betabin",51,3,-0.6,-0.6,90,0
150,0.001,0.5,1000,"betabin",51,6,-0.6,-0.6,90,0
150,0.001,0.5,1000,"betabin_dynamic",15,3,0.5,0.5,75,0
150,0.001,0.5,1000,"betabin_dynamic",15,6,2,2,300,0
150,0.001,0.5,1000,"betabin_dynamic",51,3,0.5,0.5,75,NA
150,0.001,0.5,1000,"betabin_dynamic",51,6,2,2,300,0
150,0.001,0.5,1000,"bhd",15,3,-0.458771666666667,-0.458983333333333,68.8258752487028,0.0149191527389107
150,0.001,0.5,1000,"bhd",15,6,-0.366341666666667,-0.364516666666667,54.9677998809303,0.0145588042657138
150,0.001,0.5,1000,"bhd",51,3,-0.51016,-0.511533333333333,76.5302896081022,0.0137002104302373
150,0.001,0.5,1000,"bhd",51,6,-0.478691666666667,-0.479116666666667,71.8149081754617,0.0166094134738634
150,0.001,0.5,1000,"wasserstein",15,3,-0.550405,-0.552083333333333,82.5642150011129,0.011507567315622
150,0.001,0.5,1000,"wasserstein",15,6,-0.561548333333333,-0.562666666666667,84.2382453001604,0.0156780702117622
150,0.001,0.5,1000,"wasserstein",51,3,-0.562013333333333,-0.561733333333333,84.3041944092938,0.00949908182149864
150,0.001,0.5,1000,"wasserstein",51,6,-0.545275,-0.5458,81.8038887599483,0.0216289549724196
150,0.001,0.5,5000,"betabin",15,3,-0.6,-0.6,90,0
150,0.001,0.5,5000,"betabin",15,6,-0.6,-0.6,90,0
150,0.001,0.5,5000,"betabin",51,3,-0.6,-0.6,90,0
150,0.001,0.5,5000,"betabin",51,6,-0.6,-0.6,90,0
150,0.001,0.5,5000,"betabin_dynamic",15,3,NA,NA,NA,NA
150,0.001,0.5,5000,"betabin_dynamic",15,6,NA,NA,NA,NA
150,0.001,0.5,5000,"betabin_dynamic",51,3,NA,NA,NA,NA
150,0.001,0.5,5000,"betabin_dynamic",51,6,NA,NA,NA,NA
150,0.001,0.5,5000,"bhd",15,3,-0.460430333333333,-0.460476666666667,69.0663355083358,0.0062954350927139
150,0.001,0.5,5000,"bhd",15,6,-0.368181666666667,-0.367826666666667,55.2337703271287,0.00918742765891872
150,0.001,0.5,5000,"bhd",51,3,-0.508822666666667,-0.508613333333333,76.3245991768054,0.00595793539095893
150,0.001,0.5,5000,"bhd",51,6,-0.477342666666667,-0.47854,71.6054399658294,0.00995406830841507
150,0.001,0.5,5000,"wasserstein",15,3,-0.551086666666667,-0.550706666666667,82.6638121888895,0.00558321820712673
150,0.001,0.5,5000,"wasserstein",15,6,-0.562332,-0.563226666666667,84.3508826521691,0.00667890150714046
150,0.001,0.5,5000,"wasserstein",51,3,-0.563372666666667,-0.563286666666667,84.5063435376304,0.00428904238592067
