"true_Nc","target_fis","n_sample","replicate","method","num_N_hypothesized","N_try_max_factor","N_est","bias"
150,0.001,30,1,"wasserstein",15,3,25.695,-0.8287
150,0.001,30,1,"bhd",15,3,32.51,-0.783266666666667
150,0.001,30,1,"betabin",15,3,24,-0.84
150,0.001,30,1,"betabin_dynamic",15,3,NA,NA
150,0.001,30,2,"wasserstein",15,3,26.245,-0.825033333333333
150,0.001,30,2,"bhd",15,3,32.4,-0.784
150,0.001,30,2,"betabin",15,3,24,-0.84
150,0.001,30,2,"betabin_dynamic",15,3,NA,NA
150,0.001,30,3,"wasserstein",15,3,26.255,-0.824966666666667
150,0.001,30,3,"bhd",15,3,32.155,-0.785633333333333
150,0.001,30,3,"betabin",15,3,24,-0.84
150,0.001,30,3,"betabin_dynamic",15,3,NA,NA
150,0.001,30,4,"wasserstein",15,3,25.82,-0.827866666666667
150,0.001,30,4,"bhd",15,3,31.395,-0.7907
150,0.001,30,4,"betabin",15,3,24,-0.84
150,0.001,30,4,"betabin_dynamic",15,3,NA,NA
150,0.001,30,5,"wasserstein",15,3,25.755,-0.8283
150,0.001,30,5,"bhd",15,3,32.035,-0.786433333333333
150,0.001,30,5,"betabin",15,3,24,-0.84
150,0.001,30,5,"betabin_dynamic",15,3,NA,NA
150,0.001,30,6,"wasserstein",15,3,26.395,-0.824033333333333
150,0.001,30,6,"bhd",15,3,32.305,-0.784633333333333
150,0.001,30,6,"betabin",15,3,24,-0.84
150,0.001,30,6,"betabin_dynamic",15,3,NA,NA
150,0.001,30,7,"wasserstein",15,3,25.9,-0.827333333333333
150,0.001,30,7,"bhd",15,3,31.985,-0.786766666666667
150,0.001,30,7,"betabin",15,3,24,-0.84
150,0.001,30,7,"betabin_dynamic",15,3,NA,NA
150,0.001,30,8,"wasserstein",15,3,25.55,-0.829666666666667
150,0.001,30,8,"bhd",15,3,33.31,-0.777933333333333
150,0.001,30,8,"betabin",15,3,24,-0.84
150,0.001,30,8,"betabin_dynamic",15,3,NA,NA
150,0.001,30,9,"wasserstein",15,3,26.08,-0.826133333333333
150,0.001,30,9,"bhd",15,3,32.745,-0.7817
150,0.001,30,9,"betabin",15,3,24,-0.84
150,0.001,30,9,"betabin_dynamic",15,3,NA,NA
150,0.001,30,10,"wasserstein",15,3,25.92,-0.8272
150,0.001,30,10,"bhd",15,3,31.22,-0.791866666666667
150,0.001,30,10,"betabin",15,3,24,-0.84
150,0.001,30,10,"betabin_dynamic",15,3,NA,NA
150,0.001,30,11,"wasserstein",15,3,25.74,-0.8284
150,0.001,30,11,"bhd",15,3,32.99,-0.780066666666667
150,0.001,30,11,"betabin",15,3,24,-0.84
150,0.001,30,11,"betabin_dynamic",15,3,NA,NA
150,0.001,30,12,"wasserstein",15,3,26.04,-0.8264
150,0.001,30,12,"bhd",15,3,32.545,-0.783033333333333
150,0.001,30,12,"betabin",15,3,24,-0.84
150,0.001,30,12,"betabin_dynamic",15,3,NA,NA
150,0.001,30,13,"wasserstein",15,3,25.715,-0.828566666666667
150,0.001,30,13,"bhd",15,3,33.89,-0.774066666666667
150,0.001,30,13,"betabin",15,3,24,-0.84
150,0.001,30,13,"betabin_dynamic",15,3,NA,NA
150,0.001,30,14,"wasserstein",15,3,25.91,-0.827266666666667
150,0.001,30,14,"bhd",15,3,31.735,-0.788433333333333
150,0.001,30,14,"betabin",15,3,24,-0.84
150,0.001,30,14,"betabin_dynamic",15,3,NA,NA
150,0.001,30,15,"wasserstein",15,3,26.01,-0.8266
150,0.001,30,15,"bhd",15,3,31.355,-0.790966666666667
150,0.001,30,15,"betabin",15,3,24,-0.84
150,0.001,30,15,"betabin_dynamic",15,3,NA,NA
150,0.001,30,16,"wasserstein",15,3,26.251256281407,-0.82499162479062
150,0.001,30,16,"bhd",15,3,31.9899497487437,-0.786733668341709
150,0.001,30,16,"betabin",15,3,24,-0.84
150,0.001,30,16,"betabin_dynamic",15,3,NA,NA
150,0.001,30,17,"wasserstein",15,3,25.96,-0.826933333333333
150,0.001,30,17,"bhd",15,3,31.96,-0.786933333333333
150,0.001,30,17,"betabin",15,3,24,-0.84
150,0.001,30,17,"betabin_dynamic",15,3,NA,NA
150,0.001,30,18,"wasserstein",15,3,26.15,-0.825666666666667
150,0.001,30,18,"bhd",15,3,31.26,-0.7916
150,0.001,30,18,"betabin",15,3,24,-0.84
150,0.001,30,18,"betabin_dynamic",15,3,NA,NA
150,0.001,30,19,"wasserstein",15,3,26.205,-0.8253
150,0.001,30,19,"bhd",15,3,33.085,-0.779433333333333
150,0.001,30,19,"betabin",15,3,24,-0.84
150,0.001,30,19,"betabin_dynamic",15,3,NA,NA
150,0.001,30,20,"wasserstein",15,3,25.895,-0.827366666666667
150,0.001,30,20,"bhd",15,3,31.57,-0.789533333333333
150,0.001,30,20,"betabin",15,3,24,-0.84
150,0.001,30,20,"betabin_dynamic",15,3,NA,NA
150,0.001,30,1,"wasserstein",15,6,25.43,-0.830466666666667
150,0.001,30,1,"bhd",15,6,38.04,-0.7464
150,0.001,30,1,"betabin",15,6,24,-0.84
150,0.001,30,1,"betabin_dynamic",15,6,NA,NA
150,0.001,30,2,"wasserstein",15,6,25.54,-0.829733333333333
150,0.001,30,2,"bhd",15,6,37.44,-0.7504
150,0.001,30,2,"betabin",15,6,24,-0.84
150,0.001,30,2,"betabin_dynamic",15,6,NA,NA
150,0.001,30,3,"wasserstein",15,6,26.035,-0.826433333333333
150,0.001,30,3,"bhd",15,6,38,-0.746666666666667
150,0.001,30,3,"betabin",15,6,24,-0.84
150,0.001,30,3,"betabin_dynamic",15,6,NA,NA
150,0.001,30,4,"wasserstein",15,6,25.82,-0.827866666666667
150,0.001,30,4,"bhd",15,6,38.675,-0.742166666666667
150,0.001,30,4,"betabin",15,6,24,-0.84
150,0.001,30,4,"betabin_dynamic",15,6,NA,NA
150,0.001,30,5,"wasserstein",15,6,25.54,-0.829733333333333
150,0.001,30,5,"bhd",15,6,37.835,-0.747766666666667
150,0.001,30,5,"betabin",15,6,24,-0.84
150,0.001,30,5,"betabin_dynamic",15,6,NA,NA
150,0.001,30,6,"wasserstein",15,6,25.32,-0.8312
150,0.001,30,6,"bhd",15,6,38.885,-0.740766666666667
150,0.001,30,6,"betabin",15,6,24,-0.84
150,0.001,30,6,"betabin_dynamic",15,6,NA,NA
150,0.001,30,7,"wasserstein",15,6,25.21,-0.831933333333333
150,0.001,30,7,"bhd",15,6,37.875,-0.7475
150,0.001,30,7,"betabin",15,6,24,-0.84
150,0.001,30,7,"betabin_dynamic",15,6,NA,NA
150,0.001,30,8,"wasserstein",15,6,25.65,-0.829
150,0.001,30,8,"bhd",15,6,38.4,-0.744
150,0.001,30,8,"betabin",15,6,24,-0.84
150,0.001,30,8,"betabin_dynamic",15,6,NA,NA
150,0.001,30,9,"wasserstein",15,6,25.76,-0.828266666666667
150,0.001,30,9,"bhd",15,6,37.28,-0.751466666666667
150,0.001,30,9,"betabin",15,6,24,-0.84
150,0.001,30,9,"betabin_dynamic",15,6,NA,NA
150,0.001,30,10,"wasserstein",15,6,25.045,-0.833033333333333
150,0.001,30,10,"bhd",15,6,38.22,-0.7452
150,0.001,30,10,"betabin",15,6,24,-0.84
150,0.001,30,10,"betabin_dynamic",15,6,NA,NA
150,0.001,30,11,"wasserstein",15,6,25.32,-0.8312
150,0.001,30,11,"bhd",15,6,37.885,-0.747433333333333
150,0.001,30,11,"betabin",15,6,24,-0.84
150,0.001,30,11,"betabin_dynamic",15,6,NA,NA
150,0.001,30,12,"wasserstein",15,6,24.935,-0.833766666666667
150,0.001,30,12,"bhd",15,6,37.82,-0.747866666666667
150,0.001,30,12,"betabin",15,6,24,-0.84
150,0.001,30,12,"betabin_dynamic",15,6,NA,NA
150,0.001,30,13,"wasserstein",15,6,26.09,-0.826066666666667
150,0.001,30,13,"bhd",15,6,38.11,-0.745933333333333
150,0.001,30,13,"betabin",15,6,24,-0.84
150,0.001,30,13,"betabin_dynamic",15,6,NA,NA
150,0.001,30,14,"wasserstein",15,6,25.375,-0.830833333333333
150,0.001,30,14,"bhd",15,6,39.495,-0.7367
150,0.001,30,14,"betabin",15,6,24,-0.84
150,0.001,30,14,"betabin_dynamic",15,6,NA,NA
150,0.001,30,15,"wasserstein",15,6,25.815,-0.8279
150,0.001,30,15,"bhd",15,6,37.99,-0.746733333333333
150,0.001,30,15,"betabin",15,6,24,-0.84
150,0.001,30,15,"betabin_dynamic",15,6,NA,NA
150,0.001,30,16,"wasserstein",15,6,25.265,-0.831566666666667
150,0.001,30,16,"bhd",15,6,38.11,-0.745933333333333
150,0.001,30,16,"betabin",15,6,24,-0.84
150,0.001,30,16,"betabin_dynamic",15,6,NA,NA
150,0.001,30,17,"wasserstein",15,6,25.43,-0.830466666666667
150,0.001,30,17,"bhd",15,6,38.325,-0.7445
150,0.001,30,17,"betabin",15,6,24,-0.84
150,0.001,30,17,"betabin_dynamic",15,6,NA,NA
150,0.001,30,18,"wasserstein",15,6,25.54,-0.829733333333333
150,0.001,30,18,"bhd",15,6,37.105,-0.752633333333333
150,0.001,30,18,"betabin",15,6,24,-0.84
150,0.001,30,18,"betabin_dynamic",15,6,NA,NA
150,0.001,30,19,"wasserstein",15,6,25.54,-0.829733333333333
150,0.001,30,19,"bhd",15,6,36.885,-0.7541
150,0.001,30,19,"betabin",15,6,24,-0.84
150,0.001,30,19,"betabin_dynamic",15,6,NA,NA
150,0.001,30,20,"wasserstein",15,6,25.985,-0.826766666666667
150,0.001,30,20,"bhd",15,6,37.94,-0.747066666666667
150,0.001,30,20,"betabin",15,6,24,-0.84
150,0.001,30,20,"betabin_dynamic",15,6,NA,NA
150,0.001,30,1,"wasserstein",51,3,25.88,-0.827466666666667
150,0.001,30,1,"bhd",51,3,30.075,-0.7995
150,0.001,30,1,"betabin",51,3,24,-0.84
150,0.001,30,1,"betabin_dynamic",51,3,NA,NA
150,0.001,30,2,"wasserstein",51,3,25.475,-0.830166666666667
150,0.001,30,2,"bhd",51,3,29.25,-0.805
150,0.001,30,2,"betabin",51,3,24,-0.84
150,0.001,30,2,"betabin_dynamic",51,3,NA,NA
150,0.001,30,3,"wasserstein",51,3,25.53,-0.8298
150,0.001,30,3,"bhd",51,3,29.54,-0.803066666666667
150,0.001,30,3,"betabin",51,3,24,-0.84
150,0.001,30,3,"betabin_dynamic",51,3,NA,NA
150,0.001,30,4,"wasserstein",51,3,25.45,-0.830333333333333
150,0.001,30,4,"bhd",51,3,29.39,-0.804066666666667
150,0.001,30,4,"betabin",51,3,24,-0.84
150,0.001,30,4,"betabin_dynamic",51,3,NA,NA
150,0.001,30,5,"wasserstein",51,3,25.595,-0.829366666666667
150,0.001,30,5,"bhd",51,3,28.97,-0.806866666666667
150,0.001,30,5,"betabin",51,3,24,-0.84
150,0.001,30,5,"betabin_dynamic",51,3,NA,NA
150,0.001,30,6,"wasserstein",51,3,25.285,-0.831433333333333
150,0.001,30,6,"bhd",51,3,30.19,-0.798733333333333
150,0.001,30,6,"betabin",51,3,24,-0.84
150,0.001,30,6,"betabin_dynamic",51,3,NA,NA
150,0.001,30,7,"wasserstein",51,3,25.015,-0.833233333333333
150,0.001,30,7,"bhd",51,3,30.165,-0.7989
150,0.001,30,7,"betabin",51,3,24,-0.84
150,0.001,30,7,"betabin_dynamic",51,3,NA,NA
150,0.001,30,8,"wasserstein",51,3,25.5326633165829,-0.829782244556114
150,0.001,30,8,"bhd",51,3,29.3316582914573,-0.804455611390285
150,0.001,30,8,"betabin",51,3,24,-0.84
150,0.001,30,8,"betabin_dynamic",51,3,NA,NA
150,0.001,30,9,"wasserstein",51,3,25.3266331658291,-0.831155778894472
150,0.001,30,9,"bhd",51,3,30.1809045226131,-0.798793969849246
150,0.001,30,9,"betabin",51,3,24,-0.84
150,0.001,30,9,"betabin_dynamic",51,3,NA,NA
150,0.001,30,10,"wasserstein",51,3,25.3,-0.831333333333333
150,0.001,30,10,"bhd",51,3,29.625,-0.8025
150,0.001,30,10,"betabin",51,3,24,-0.84
150,0.001,30,10,"betabin_dynamic",51,3,NA,NA
150,0.001,30,11,"wasserstein",51,3,25.6683417085427,-0.828877721943049
150,0.001,30,11,"bhd",51,3,29.4120603015075,-0.80391959798995
150,0.001,30,11,"betabin",51,3,24,-0.84
150,0.001,30,11,"betabin_dynamic",51,3,NA,NA
150,0.001,30,12,"wasserstein",51,3,25.74,-0.8284
150,0.001,30,12,"bhd",51,3,30.465,-0.7969
150,0.001,30,12,"betabin",51,3,24,-0.84
150,0.001,30,12,"betabin_dynamic",51,3,NA,NA
150,0.001,30,13,"wasserstein",51,3,25.435,-0.830433333333333
150,0.001,30,13,"bhd",51,3,29.22,-0.8052
150,0.001,30,13,"betabin",51,3,24,-0.84
150,0.001,30,13,"betabin_dynamic",51,3,NA,NA
150,0.001,30,14,"wasserstein",51,3,25.535,-0.829766666666667
150,0.001,30,14,"bhd",51,3,30.33,-0.7978
150,0.001,30,14,"betabin",51,3,24,-0.84
150,0.001,30,14,"betabin_dynamic",51,3,NA,NA
150,0.001,30,15,"wasserstein",51,3,25.665,-0.8289
150,0.001,30,15,"bhd",51,3,30.29,-0.798066666666667
150,0.001,30,15,"betabin",51,3,24,-0.84
150,0.001,30,15,"betabin_dynamic",51,3,NA,NA
150,0.001,30,16,"wasserstein",51,3,25.685,-0.828766666666667
150,0.001,30,16,"bhd",51,3,29.875,-0.800833333333333
150,0.001,30,16,"betabin",51,3,24,-0.84
150,0.001,30,16,"betabin_dynamic",51,3,NA,NA
150,0.001,30,17,"wasserstein",51,3,25.49,-0.830066666666667
150,0.001,30,17,"bhd",51,3,29.825,-0.801166666666667
150,0.001,30,17,"betabin",51,3,24,-0.84
150,0.001,30,17,"betabin_dynamic",51,3,NA,NA
150,0.001,30,18,"wasserstein",51,3,25.84,-0.827733333333333
150,0.001,30,18,"bhd",51,3,29.905,-0.800633333333333
150,0.001,30,18,"betabin",51,3,24,-0.84
150,0.001,30,18,"betabin_dynamic",51,3,NA,NA
150,0.001,30,19,"wasserstein",51,3,25.51,-0.829933333333333
150,0.001,30,19,"bhd",51,3,29.86,-0.800933333333333
150,0.001,30,19,"betabin",51,3,24,-0.84
150,0.001,30,19,"betabin_dynamic",51,3,NA,NA
150,0.001,30,20,"wasserstein",51,3,25.555,-0.829633333333333
150,0.001,30,20,"bhd",51,3,29.845,-0.801033333333333
150,0.001,30,20,"betabin",51,3,24,-0.84
150,0.001,30,20,"betabin_dynamic",51,3,NA,NA
150,0.001,30,1,"wasserstein",51,6,25.5,-0.83
150,0.001,30,1,"bhd",51,6,31.08,-0.7928
150,0.001,30,1,"betabin",51,6,24,-0.84
150,0.001,30,1,"betabin_dynamic",51,6,NA,NA
150,0.001,30,2,"wasserstein",51,6,25.365,-0.8309
150,0.001,30,2,"bhd",51,6,31.205,-0.791966666666667
150,0.001,30,2,"betabin",51,6,24,-0.84
150,0.001,30,2,"betabin_dynamic",51,6,NA,NA
150,0.001,30,3,"wasserstein",51,6,25.875,-0.8275
150,0.001,30,3,"bhd",51,6,30.21,-0.7986
150,0.001,30,3,"betabin",51,6,24,-0.84
150,0.001,30,3,"betabin_dynamic",51,6,NA,NA
150,0.001,30,4,"wasserstein",51,6,25.935,-0.8271
150,0.001,30,4,"bhd",51,6,31.13,-0.792466666666667
150,0.001,30,4,"betabin",51,6,24,-0.84
150,0.001,30,4,"betabin_dynamic",51,6,NA,NA
150,0.001,30,5,"wasserstein",51,6,25.685,-0.828766666666667
150,0.001,30,5,"bhd",51,6,31.045,-0.793033333333333
150,0.001,30,5,"betabin",51,6,24,-0.84
150,0.001,30,5,"betabin_dynamic",51,6,NA,NA
150,0.001,30,6,"wasserstein",51,6,25.545,-0.8297
150,0.001,30,6,"bhd",51,6,31.3,-0.791333333333333
150,0.001,30,6,"betabin",51,6,24,-0.84
150,0.001,30,6,"betabin_dynamic",51,6,NA,NA
150,0.001,30,7,"wasserstein",51,6,25.77,-0.8282
150,0.001,30,7,"bhd",51,6,30.125,-0.799166666666667
150,0.001,30,7,"betabin",51,6,24,-0.84
150,0.001,30,7,"betabin_dynamic",51,6,NA,NA
150,0.001,30,8,"wasserstein",51,6,25.575,-0.8295
150,0.001,30,8,"bhd",51,6,30.115,-0.799233333333333
150,0.001,30,8,"betabin",51,6,24,-0.84
150,0.001,30,8,"betabin_dynamic",51,6,NA,NA
150,0.001,30,9,"wasserstein",51,6,25.59,-0.8294
150,0.001,30,9,"bhd",51,6,29.905,-0.800633333333333
150,0.001,30,9,"betabin",51,6,24,-0.84
150,0.001,30,9,"betabin_dynamic",51,6,NA,NA
150,0.001,30,10,"wasserstein",51,6,25.68,-0.8288
150,0.001,30,10,"bhd",51,6,29.915,-0.800566666666667
150,0.001,30,10,"betabin",51,6,24,-0.84
150,0.001,30,10,"betabin_dynamic",51,6,NA,NA
150,0.001,30,11,"wasserstein",51,6,25.56,-0.8296
150,0.001,30,11,"bhd",51,6,29.59,-0.802733333333333
150,0.001,30,11,"betabin",51,6,24,-0.84
150,0.001,30,11,"betabin_dynamic",51,6,NA,NA
150,0.001,30,12,"wasserstein",51,6,25.485,-0.8301
150,0.001,30,12,"bhd",51,6,30.52,-0.796533333333333
150,0.001,30,12,"betabin",51,6,24,-0.84
150,0.001,30,12,"betabin_dynamic",51,6,NA,NA
150,0.001,30,13,"wasserstein",51,6,25.515,-0.8299
150,0.001,30,13,"bhd",51,6,30.555,-0.7963
150,0.001,30,13,"betabin",51,6,24,-0.84
150,0.001,30,13,"betabin_dynamic",51,6,NA,NA
150,0.001,30,14,"wasserstein",51,6,25.643216080402,-0.829045226130653
150,0.001,30,14,"bhd",51,6,32.1909547738693,-0.785393634840871
150,0.001,30,14,"betabin",51,6,24,-0.84
150,0.001,30,14,"betabin_dynamic",51,6,NA,NA
150,0.001,30,15,"wasserstein",51,6,25.635,-0.8291
150,0.001,30,15,"bhd",51,6,30.95,-0.793666666666667
150,0.001,30,15,"betabin",51,6,24,-0.84
150,0.001,30,15,"betabin_dynamic",51,6,NA,NA
150,0.001,30,16,"wasserstein",51,6,25.365,-0.8309
150,0.001,30,16,"bhd",51,6,30.725,-0.795166666666667
150,0.001,30,16,"betabin",51,6,24,-0.84
150,0.001,30,16,"betabin_dynamic",51,6,NA,NA
150,0.001,30,17,"wasserstein",51,6,25.3718592964824,-0.830854271356784
150,0.001,30,17,"bhd",51,6,30.4673366834171,-0.796884422110553
150,0.001,30,17,"betabin",51,6,24,-0.84
150,0.001,30,17,"betabin_dynamic",51,6,NA,NA
150,0.001,30,18,"wasserstein",51,6,25.68,-0.8288
150,0.001,30,18,"bhd",51,6,30,-0.8
150,0.001,30,18,"betabin",51,6,24,-0.84
150,0.001,30,18,"betabin_dynamic",51,6,NA,NA
150,0.001,30,19,"wasserstein",51,6,25.785,-0.8281
150,0.001,30,19,"bhd",51,6,31.875,-0.7875
150,0.001,30,19,"betabin",51,6,24,-0.84
150,0.001,30,19,"betabin_dynamic",51,6,NA,NA
150,0.001,30,20,"wasserstein",51,6,25.605,-0.8293
150,0.001,30,20,"bhd",51,6,29.775,-0.8015
150,0.001,30,20,"betabin",51,6,24,-0.84
150,0.001,30,20,"betabin_dynamic",51,6,NA,NA
150,0.001,30,1,"wasserstein",15,3,25.7457457457457,-0.828361695028362
150,0.001,30,1,"bhd",15,3,31.8268268268268,-0.787821154487821
150,0.001,30,1,"betabin",15,3,24,-0.84
150,0.001,30,1,"betabin_dynamic",15,3,NA,NA
150,0.001,30,2,"wasserstein",15,3,26.054,-0.826306666666667
150,0.001,30,2,"bhd",15,3,32.137,-0.785753333333333
150,0.001,30,2,"betabin",15,3,24,-0.84
150,0.001,30,2,"betabin_dynamic",15,3,NA,NA
150,0.001,30,3,"wasserstein",15,3,25.919,-0.827206666666667
150,0.001,30,3,"bhd",15,3,31.798,-0.788013333333333
150,0.001,30,3,"betabin",15,3,24,-0.84
150,0.001,30,3,"betabin_dynamic",15,3,NA,NA
150,0.001,30,4,"wasserstein",15,3,25.97,-0.826866666666667
150,0.001,30,4,"bhd",15,3,32.406,-0.78396
150,0.001,30,4,"betabin",15,3,24,-0.84
150,0.001,30,4,"betabin_dynamic",15,3,NA,NA
150,0.001,30,5,"wasserstein",15,3,25.844,-0.827706666666667
150,0.001,30,5,"bhd",15,3,32.063,-0.786246666666667
150,0.001,30,5,"betabin",15,3,24,-0.84
150,0.001,30,5,"betabin_dynamic",15,3,NA,NA
