true_Nc,target_fis,n_sample_prop,n_loci,num_N_hypothesized,N_try_max_factor,replicate,method,num_N_hypothesized,N_try_max_factor,N_est
150,0.001,0.2,1000,15,3,1,wasserstein,15,3,25.695
150,0.001,0.2,1000,15,3,1,bhd,15,3,32.51
150,0.001,0.2,1000,15,3,1,betabin,15,3,24
150,0.001,0.2,1000,15,3,1,betabin_dynamic,15,3,NA
150,0.001,0.2,1000,15,3,2,wasserstein,15,3,26.245
150,0.001,0.2,1000,15,3,2,bhd,15,3,32.4
150,0.001,0.2,1000,15,3,2,betabin,15,3,24
150,0.001,0.2,1000,15,3,2,betabin_dynamic,15,3,NA
150,0.001,0.2,1000,15,3,3,wasserstein,15,3,26.255
150,0.001,0.2,1000,15,3,3,bhd,15,3,32.155
150,0.001,0.2,1000,15,3,3,betabin,15,3,24
150,0.001,0.2,1000,15,3,3,betabin_dynamic,15,3,NA
150,0.001,0.2,1000,15,3,4,wasserstein,15,3,25.82
150,0.001,0.2,1000,15,3,4,bhd,15,3,31.395
150,0.001,0.2,1000,15,3,4,betabin,15,3,24
150,0.001,0.2,1000,15,3,4,betabin_dynamic,15,3,NA
150,0.001,0.2,1000,15,3,5,wasserstein,15,3,25.755
150,0.001,0.2,1000,15,3,5,bhd,15,3,32.035
150,0.001,0.2,1000,15,3,5,betabin,15,3,24
150,0.001,0.2,1000,15,3,5,betabin_dynamic,15,3,NA
150,0.001,0.2,1000,15,3,6,wasserstein,15,3,26.395
150,0.001,0.2,1000,15,3,6,bhd,15,3,32.305
150,0.001,0.2,1000,15,3,6,betabin,15,3,24
150,0.001,0.2,1000,15,3,6,betabin_dynamic,15,3,NA
150,0.001,0.2,1000,15,3,7,wasserstein,15,3,25.9
150,0.001,0.2,1000,15,3,7,bhd,15,3,31.985
150,0.001,0.2,1000,15,3,7,betabin,15,3,24
150,0.001,0.2,1000,15,3,7,betabin_dynamic,15,3,NA
150,0.001,0.2,1000,15,3,8,wasserstein,15,3,25.55
150,0.001,0.2,1000,15,3,8,bhd,15,3,33.31
150,0.001,0.2,1000,15,3,8,betabin,15,3,24
150,0.001,0.2,1000,15,3,8,betabin_dynamic,15,3,NA
150,0.001,0.2,1000,15,3,9,wasserstein,15,3,26.08
150,0.001,0.2,1000,15,3,9,bhd,15,3,32.745
150,0.001,0.2,1000,15,3,9,betabin,15,3,24
150,0.001,0.2,1000,15,3,9,betabin_dynamic,15,3,NA
150,0.001,0.2,1000,15,3,10,wasserstein,15,3,25.92
150,0.001,0.2,1000,15,3,10,bhd,15,3,31.22
150,0.001,0.2,1000,15,3,10,betabin,15,3,24
150,0.001,0.2,1000,15,3,10,betabin_dynamic,15,3,NA
150,0.001,0.2,1000,15,3,11,wasserstein,15,3,25.74
150,0.001,0.2,1000,15,3,11,bhd,15,3,32.99
150,0.001,0.2,1000,15,3,11,betabin,15,3,24
150,0.001,0.2,1000,15,3,11,betabin_dynamic,15,3,NA
150,0.001,0.2,1000,15,3,12,wasserstein,15,3,26.04
150,0.001,0.2,1000,15,3,12,bhd,15,3,32.545
150,0.001,0.2,1000,15,3,12,betabin,15,3,24
150,0.001,0.2,1000,15,3,12,betabin_dynamic,15,3,NA
150,0.001,0.2,1000,15,3,13,wasserstein,15,3,25.715
150,0.001,0.2,1000,15,3,13,bhd,15,3,33.89
150,0.001,0.2,1000,15,3,13,betabin,15,3,24
150,0.001,0.2,1000,15,3,13,betabin_dynamic,15,3,NA
150,0.001,0.2,1000,15,3,14,wasserstein,15,3,25.91
150,0.001,0.2,1000,15,3,14,bhd,15,3,31.735
150,0.001,0.2,1000,15,3,14,betabin,15,3,24
150,0.001,0.2,1000,15,3,14,betabin_dynamic,15,3,NA
150,0.001,0.2,1000,15,3,15,wasserstein,15,3,26.01
150,0.001,0.2,1000,15,3,15,bhd,15,3,31.355
150,0.001,0.2,1000,15,3,15,betabin,15,3,24
150,0.001,0.2,1000,15,3,15,betabin_dynamic,15,3,NA
150,0.001,0.2,1000,15,3,16,wasserstein,15,3,26.251256281407
150,0.001,0.2,1000,15,3,16,bhd,15,3,31.9899497487437
150,0.001,0.2,1000,15,3,16,betabin,15,3,24
150,0.001,0.2,1000,15,3,16,betabin_dynamic,15,3,NA
150,0.001,0.2,1000,15,3,17,wasserstein,15,3,25.96
150,0.001,0.2,1000,15,3,17,bhd,15,3,31.96
150,0.001,0.2,1000,15,3,17,betabin,15,3,24
150,0.001,0.2,1000,15,3,17,betabin_dynamic,15,3,NA
150,0.001,0.2,1000,15,3,18,wasserstein,15,3,26.15
150,0.001,0.2,1000,15,3,18,bhd,15,3,31.26
150,0.001,0.2,1000,15,3,18,betabin,15,3,24
150,0.001,0.2,1000,15,3,18,betabin_dynamic,15,3,NA
150,0.001,0.2,1000,15,3,19,wasserstein,15,3,26.205
150,0.001,0.2,1000,15,3,19,bhd,15,3,33.085
150,0.001,0.2,1000,15,3,19,betabin,15,3,24
150,0.001,0.2,1000,15,3,19,betabin_dynamic,15,3,NA
150,0.001,0.2,1000,15,3,20,wasserstein,15,3,25.895
150,0.001,0.2,1000,15,3,20,bhd,15,3,31.57
150,0.001,0.2,1000,15,3,20,betabin,15,3,24
150,0.001,0.2,1000,15,3,20,betabin_dynamic,15,3,NA
150,0.001,0.2,1000,15,6,1,wasserstein,15,6,25.43
150,0.001,0.2,1000,15,6,1,bhd,15,6,38.04
150,0.001,0.2,1000,15,6,1,betabin,15,6,24
150,0.001,0.2,1000,15,6,1,betabin_dynamic,15,6,NA
150,0.001,0.2,1000,15,6,2,wasserstein,15,6,25.54
150,0.001,0.2,1000,15,6,2,bhd,15,6,37.44
150,0.001,0.2,1000,15,6,2,betabin,15,6,24
150,0.001,0.2,1000,15,6,2,betabin_dynamic,15,6,NA
150,0.001,0.2,1000,15,6,3,wasserstein,15,6,26.035
150,0.001,0.2,1000,15,6,3,bhd,15,6,38
150,0.001,0.2,1000,15,6,3,betabin,15,6,24
150,0.001,0.2,1000,15,6,3,betabin_dynamic,15,6,NA
150,0.001,0.2,1000,15,6,4,wasserstein,15,6,25.82
150,0.001,0.2,1000,15,6,4,bhd,15,6,38.675
150,0.001,0.2,1000,15,6,4,betabin,15,6,24
150,0.001,0.2,1000,15,6,4,betabin_dynamic,15,6,NA
150,0.001,0.2,1000,15,6,5,wasserstein,15,6,25.54
150,0.001,0.2,1000,15,6,5,bhd,15,6,37.835
150,0.001,0.2,1000,15,6,5,betabin,15,6,24
150,0.001,0.2,1000,15,6,5,betabin_dynamic,15,6,NA
150,0.001,0.2,1000,15,6,6,wasserstein,15,6,25.32
150,0.001,0.2,1000,15,6,6,bhd,15,6,38.885
150,0.001,0.2,1000,15,6,6,betabin,15,6,24
150,0.001,0.2,1000,15,6,6,betabin_dynamic,15,6,NA
150,0.001,0.2,1000,15,6,7,wasserstein,15,6,25.21
150,0.001,0.2,1000,15,6,7,bhd,15,6,37.875
150,0.001,0.2,1000,15,6,7,betabin,15,6,24
150,0.001,0.2,1000,15,6,7,betabin_dynamic,15,6,NA
150,0.001,0.2,1000,15,6,8,wasserstein,15,6,25.65
150,0.001,0.2,1000,15,6,8,bhd,15,6,38.4
150,0.001,0.2,1000,15,6,8,betabin,15,6,24
