"true_Nc","sample_prop","AFS","N_est"
1000,0.01,"uniform",8
1000,0.01,"uniform",8
1000,0.01,"uniform",8
1000,0.01,"uniform",8
1000,0.01,"uniform",8
1000,0.01,"uniform",8
1000,0.01,"uniform",8
1000,0.01,"uniform",8
1000,0.01,"uniform",8
1000,0.01,"uniform",8
1000,0.01,"uniform",8
1000,0.01,"uniform",8
1000,0.01,"uniform",8
1000,0.01,"uniform",8
1000,0.01,"uniform",8
1000,0.01,"uniform",8
1000,0.01,"uniform",8
1000,0.01,"uniform",8
1000,0.01,"uniform",8
1000,0.01,"uniform",8
1000,0.01,"uniform",8
1000,0.01,"uniform",8
1000,0.01,"uniform",8
1000,0.01,"uniform",8
1000,0.01,"uniform",8
1000,0.01,"uniform",8
1000,0.01,"uniform",8
1000,0.01,"uniform",8
1000,0.01,"uniform",8
1000,0.01,"uniform",8
1000,0.01,"uniform",8
1000,0.01,"uniform",8
1000,0.01,"uniform",8
1000,0.01,"uniform",8
1000,0.01,"uniform",8
1000,0.01,"uniform",8
1000,0.01,"uniform",8
1000,0.01,"uniform",8
1000,0.01,"uniform",8
1000,0.01,"uniform",8
1000,0.01,"uniform",8
1000,0.01,"uniform",8
1000,0.01,"uniform",8
1000,0.01,"uniform",8
1000,0.01,"uniform",8
1000,0.01,"uniform",8
1000,0.01,"uniform",8
1000,0.01,"uniform",8
1000,0.01,"uniform",8
1000,0.01,"uniform",8
2000,0.01,"uniform",18.3131313131313
2000,0.01,"uniform",18.4444444444444
2000,0.01,"uniform",18.2828282828283
2000,0.01,"uniform",18.9292929292929
2000,0.01,"uniform",19.0808080808081
2000,0.01,"uniform",19.2626262626263
2000,0.01,"uniform",19.5353535353535
2000,0.01,"uniform",18.8585858585859
2000,0.01,"uniform",18.3939393939394
2000,0.01,"uniform",18.3838383838384
2000,0.01,"uniform",19.3232323232323
2000,0.01,"uniform",19.3333333333333
2000,0.01,"uniform",18.6262626262626
2000,0.01,"uniform",18.6868686868687
2000,0.01,"uniform",18.7575757575758
2000,0.01,"uniform",19.020202020202
2000,0.01,"uniform",19.3434343434343
2000,0.01,"uniform",19
2000,0.01,"uniform",19.3131313131313
2000,0.01,"uniform",18.4183673469388
2000,0.01,"uniform",18.4242424242424
2000,0.01,"uniform",18.2929292929293
2000,0.01,"uniform",18.47
2000,0.01,"uniform",19.6464646464646
2000,0.01,"uniform",19.8080808080808
2000,0.01,"uniform",17.42
2000,0.01,"uniform",19.979797979798
2000,0.01,"uniform",18.79
2000,0.01,"uniform",18.5858585858586
2000,0.01,"uniform",18.6161616161616
2000,0.01,"uniform",17.9494949494949
2000,0.01,"uniform",18.4242424242424
2000,0.01,"uniform",18.1919191919192
2000,0.01,"uniform",17.979797979798
2000,0.01,"uniform",19.1212121212121
2000,0.01,"uniform",18.9484536082474
2000,0.01,"uniform",18.9090909090909
2000,0.01,"uniform",19.6363636363636
2000,0.01,"uniform",18.7777777777778
2000,0.01,"uniform",19.010101010101
2000,0.01,"uniform",19.2929292929293
2000,0.01,"uniform",18.5151515151515
2000,0.01,"uniform",20.2525252525252
2000,0.01,"uniform",19.3
2000,0.01,"uniform",18.0505050505051
2000,0.01,"uniform",17.6969696969697
2000,0.01,"uniform",18.5353535353535
2000,0.01,"uniform",19.79
2000,0.01,"uniform",18.5959595959596
2000,0.01,"uniform",19.2626262626263
250,0.05,"uniform",9
250,0.05,"uniform",9.83505154639175
250,0.05,"uniform",9
250,0.05,"uniform",10.125
250,0.05,"uniform",9
250,0.05,"uniform",9
250,0.05,"uniform",9
250,0.05,"uniform",9
250,0.05,"uniform",9
250,0.05,"uniform",9
250,0.05,"uniform",9
250,0.05,"uniform",9
250,0.05,"uniform",9
250,0.05,"uniform",9
250,0.05,"uniform",9
250,0.05,"uniform",9
250,0.05,"uniform",9
250,0.05,"uniform",9
250,0.05,"uniform",9
250,0.05,"uniform",9
250,0.05,"uniform",9
250,0.05,"uniform",9
250,0.05,"uniform",9
250,0.05,"uniform",9.89690721649485
250,0.05,"uniform",9
250,0.05,"uniform",9.5625
250,0.05,"uniform",9
250,0.05,"uniform",9
250,0.05,"uniform",9.64948453608247
250,0.05,"uniform",9
250,0.05,"uniform",9
250,0.05,"uniform",10.4845360824742
250,0.05,"uniform",9
250,0.05,"uniform",9
250,0.05,"uniform",9
250,0.05,"uniform",9
250,0.05,"uniform",9
250,0.05,"uniform",9
250,0.05,"uniform",9
250,0.05,"uniform",9
250,0.05,"uniform",9
250,0.05,"uniform",9.5625
250,0.05,"uniform",9
250,0.05,"uniform",9
250,0.05,"uniform",9
250,0.05,"uniform",9
250,0.05,"uniform",9
250,0.05,"uniform",9
250,0.05,"uniform",9
250,0.05,"uniform",9
500,0.05,"uniform",22.2020202020202
500,0.05,"uniform",21.8484848484848
500,0.05,"uniform",22.5252525252525
500,0.05,"uniform",21.9494949494949
500,0.05,"uniform",22.3232323232323
500,0.05,"uniform",22.6464646464646
500,0.05,"uniform",22.4242424242424
500,0.05,"uniform",23.4040404040404
500,0.05,"uniform",23.1717171717172
500,0.05,"uniform",23.1717171717172
500,0.05,"uniform",22.1818181818182
500,0.05,"uniform",23.1414141414141
500,0.05,"uniform",22.7171717171717
500,0.05,"uniform",22.1212121212121
500,0.05,"uniform",21.7777777777778
500,0.05,"uniform",23
500,0.05,"uniform",21.6161616161616
500,0.05,"uniform",21.68
500,0.05,"uniform",22.1111111111111
500,0.05,"uniform",22.3434343434343
500,0.05,"uniform",22.66
500,0.05,"uniform",21.4040404040404
500,0.05,"uniform",22.1212121212121
500,0.05,"uniform",22.7777777777778
500,0.05,"uniform",23.16
500,0.05,"uniform",22.13
500,0.05,"uniform",22.3636363636364
500,0.05,"uniform",22.1326530612245
500,0.05,"uniform",23.56
500,0.05,"uniform",22.3636363636364
500,0.05,"uniform",22.2727272727273
500,0.05,"uniform",21.71
500,0.05,"uniform",22.9494949494949
500,0.05,"uniform",21.85
500,0.05,"uniform",21.7070707070707
500,0.05,"uniform",22.979797979798
500,0.05,"uniform",22.56
500,0.05,"uniform",21.6666666666667
500,0.05,"uniform",22.6161616161616
500,0.05,"uniform",21.2121212121212
500,0.05,"uniform",22.6262626262626
500,0.05,"uniform",22.1010101010101
500,0.05,"uniform",22.6060606060606
500,0.05,"uniform",23.5151515151515
500,0.05,"uniform",21.8989898989899
500,0.05,"uniform",22.22
500,0.05,"uniform",23.2121212121212
500,0.05,"uniform",22.6464646464646
500,0.05,"uniform",21.2121212121212
500,0.05,"uniform",22.18
1000,0.05,"uniform",45.79
1000,0.05,"uniform",44.1
1000,0.05,"uniform",45.82
1000,0.05,"uniform",45.9
1000,0.05,"uniform",47.27
1000,0.05,"uniform",46.6
1000,0.05,"uniform",46.44
1000,0.05,"uniform",45.57
1000,0.05,"uniform",46.16
1000,0.05,"uniform",47.11
1000,0.05,"uniform",45.06
1000,0.05,"uniform",45.71
1000,0.05,"uniform",44.88
1000,0.05,"uniform",46.4444444444444
1000,0.05,"uniform",45.89
1000,0.05,"uniform",46.6
1000,0.05,"uniform",45.01
1000,0.05,"uniform",47.0808080808081
1000,0.05,"uniform",46.67
1000,0.05,"uniform",47.24
1000,0.05,"uniform",45.98
1000,0.05,"uniform",44.46
1000,0.05,"uniform",46.52
1000,0.05,"uniform",46.29
1000,0.05,"uniform",45.82
1000,0.05,"uniform",45.54
1000,0.05,"uniform",45.09
1000,0.05,"uniform",46.989898989899
1000,0.05,"uniform",45.46
1000,0.05,"uniform",46.37
1000,0.05,"uniform",46.42
1000,0.05,"uniform",46.16
1000,0.05,"uniform",46.71
1000,0.05,"uniform",45.06
1000,0.05,"uniform",46.22
1000,0.05,"uniform",46.35
1000,0.05,"uniform",45.39
1000,0.05,"uniform",44
1000,0.05,"uniform",46.91
1000,0.05,"uniform",46.05
1000,0.05,"uniform",44.91
1000,0.05,"uniform",45.07
1000,0.05,"uniform",46
1000,0.05,"uniform",45.43
1000,0.05,"uniform",46.51
1000,0.05,"uniform",46.38
1000,0.05,"uniform",45.51
1000,0.05,"uniform",44.5
1000,0.05,"uniform",45.86
1000,0.05,"uniform",46.29
2000,0.05,"uniform",90.27
2000,0.05,"uniform",90.65
2000,0.05,"uniform",89.89
2000,0.05,"uniform",89.69
2000,0.05,"uniform",88.49
2000,0.05,"uniform",91.74
2000,0.05,"uniform",89.25
2000,0.05,"uniform",89.56
2000,0.05,"uniform",91.12
2000,0.05,"uniform",89.99
2000,0.05,"uniform",90.44
2000,0.05,"uniform",90.69
2000,0.05,"uniform",89.25
2000,0.05,"uniform",90.3
2000,0.05,"uniform",89.65
2000,0.05,"uniform",89.81
2000,0.05,"uniform",90.07
2000,0.05,"uniform",90.36
2000,0.05,"uniform",90.13
2000,0.05,"uniform",89.75
2000,0.05,"uniform",90.99
2000,0.05,"uniform",90.84
2000,0.05,"uniform",91.9
2000,0.05,"uniform",89.98
2000,0.05,"uniform",90.13
2000,0.05,"uniform",89.51
2000,0.05,"uniform",90.47
2000,0.05,"uniform",89.37
2000,0.05,"uniform",90.4
2000,0.05,"uniform",90.37
2000,0.05,"uniform",89.85
2000,0.05,"uniform",91.25
2000,0.05,"uniform",92.66
2000,0.05,"uniform",90.28
2000,0.05,"uniform",88.69
2000,0.05,"uniform",88.37
2000,0.05,"uniform",89.95
2000,0.05,"uniform",91.28
2000,0.05,"uniform",90.83
2000,0.05,"uniform",91.09
2000,0.05,"uniform",88.62
2000,0.05,"uniform",89.08
2000,0.05,"uniform",90.53
2000,0.05,"uniform",89.52
2000,0.05,"uniform",90.35
2000,0.05,"uniform",91.5
2000,0.05,"uniform",89.34
2000,0.05,"uniform",91.99
2000,0.05,"uniform",91.17
2000,0.05,"uniform",88.96
100,0.1,"uniform",8
100,0.1,"uniform",8
100,0.1,"uniform",8
100,0.1,"uniform",8
100,0.1,"uniform",8
100,0.1,"uniform",8
100,0.1,"uniform",8
100,0.1,"uniform",8
100,0.1,"uniform",8
100,0.1,"uniform",8
100,0.1,"uniform",8
100,0.1,"uniform",8
100,0.1,"uniform",8
100,0.1,"uniform",8
100,0.1,"uniform",8
100,0.1,"uniform",8
100,0.1,"uniform",8
100,0.1,"uniform",8
100,0.1,"uniform",8
100,0.1,"uniform",8
100,0.1,"uniform",8
100,0.1,"uniform",8
100,0.1,"uniform",8
100,0.1,"uniform",8
100,0.1,"uniform",8
100,0.1,"uniform",8
100,0.1,"uniform",8
100,0.1,"uniform",8
100,0.1,"uniform",8
100,0.1,"uniform",8
100,0.1,"uniform",8
100,0.1,"uniform",8
100,0.1,"uniform",8
100,0.1,"uniform",8
100,0.1,"uniform",8
100,0.1,"uniform",8
100,0.1,"uniform",8
100,0.1,"uniform",8
100,0.1,"uniform",8
100,0.1,"uniform",8
100,0.1,"uniform",8
100,0.1,"uniform",8
100,0.1,"uniform",8
100,0.1,"uniform",8
100,0.1,"uniform",8
100,0.1,"uniform",8
100,0.1,"uniform",8
100,0.1,"uniform",8
100,0.1,"uniform",8
100,0.1,"uniform",8
250,0.1,"uniform",22.4646464646465
250,0.1,"uniform",22.4545454545455
250,0.1,"uniform",22.71
250,0.1,"uniform",22.18
250,0.1,"uniform",22.7676767676768
250,0.1,"uniform",22.4285714285714
250,0.1,"uniform",22.52
250,0.1,"uniform",21.8585858585859
250,0.1,"uniform",21.93
250,0.1,"uniform",22.1717171717172
250,0.1,"uniform",22.7575757575758
250,0.1,"uniform",21.8888888888889
250,0.1,"uniform",22.68
250,0.1,"uniform",22.58
250,0.1,"uniform",22.1111111111111
250,0.1,"uniform",23.7272727272727
250,0.1,"uniform",22.4949494949495
250,0.1,"uniform",21.8080808080808
250,0.1,"uniform",22.4646464646465
250,0.1,"uniform",22.5757575757576
250,0.1,"uniform",22
250,0.1,"uniform",22.6
250,0.1,"uniform",22.28
250,0.1,"uniform",22.8484848484849
250,0.1,"uniform",23.4646464646465
250,0.1,"uniform",22.3636363636364
250,0.1,"uniform",21.4949494949495
250,0.1,"uniform",21.5454545454545
250,0.1,"uniform",22.2222222222222
250,0.1,"uniform",22.0808080808081
250,0.1,"uniform",22.55
250,0.1,"uniform",22.6868686868687
250,0.1,"uniform",22.2020202020202
250,0.1,"uniform",22.3131313131313
250,0.1,"uniform",22.6868686868687
250,0.1,"uniform",22.5757575757576
250,0.1,"uniform",22.7171717171717
250,0.1,"uniform",23.0808080808081
250,0.1,"uniform",21.7373737373737
250,0.1,"uniform",22.4242424242424
250,0.1,"uniform",22.6767676767677
250,0.1,"uniform",22.72
250,0.1,"uniform",23.5151515151515
250,0.1,"uniform",22.7171717171717
250,0.1,"uniform",22.56
250,0.1,"uniform",22.0808080808081
250,0.1,"uniform",21.7575757575758
250,0.1,"uniform",22.5050505050505
250,0.1,"uniform",23.17
250,0.1,"uniform",21.7272727272727
500,0.1,"uniform",45.31
500,0.1,"uniform",46.06
500,0.1,"uniform",45.6
500,0.1,"uniform",47.26
500,0.1,"uniform",45.89
500,0.1,"uniform",46.28
500,0.1,"uniform",45.6969696969697
500,0.1,"uniform",47.15
500,0.1,"uniform",46.95
500,0.1,"uniform",45.4
500,0.1,"uniform",46.27
500,0.1,"uniform",45.85
500,0.1,"uniform",44.7
500,0.1,"uniform",46.5
500,0.1,"uniform",45.06
500,0.1,"uniform",45.08
500,0.1,"uniform",46.73
500,0.1,"uniform",46.37
500,0.1,"uniform",45.86
500,0.1,"uniform",47.6262626262626
500,0.1,"uniform",44.89
500,0.1,"uniform",45.89
500,0.1,"uniform",46.43
500,0.1,"uniform",46.76
500,0.1,"uniform",44.91
500,0.1,"uniform",46.41
500,0.1,"uniform",47.05
500,0.1,"uniform",44.8989898989899
500,0.1,"uniform",45.13
500,0.1,"uniform",47.8
500,0.1,"uniform",45.26
500,0.1,"uniform",46.02
500,0.1,"uniform",45.88
500,0.1,"uniform",45.56
500,0.1,"uniform",45.63
500,0.1,"uniform",45.76
500,0.1,"uniform",45.15
500,0.1,"uniform",44.07
500,0.1,"uniform",45.43
500,0.1,"uniform",47.93
500,0.1,"uniform",46.56
500,0.1,"uniform",45.06
500,0.1,"uniform",45.29
500,0.1,"uniform",45.98
500,0.1,"uniform",45.58
500,0.1,"uniform",45.15
500,0.1,"uniform",45.79
500,0.1,"uniform",44.31
500,0.1,"uniform",45.4444444444444
500,0.1,"uniform",45.29
1000,0.1,"uniform",90.41
1000,0.1,"uniform",89.38
1000,0.1,"uniform",90.19
1000,0.1,"uniform",88.87
1000,0.1,"uniform",90.22
1000,0.1,"uniform",89.02
1000,0.1,"uniform",89.38
1000,0.1,"uniform",89.41
1000,0.1,"uniform",90.44
1000,0.1,"uniform",90.42
1000,0.1,"uniform",92.25
