"true_Nc","sample_prop","n_sample","AFS","replicate","method","num_N_hypothesized","N_try_max_factor","N_est","bias"
100,0.3,30,"beta_L_shaped",1,"wasserstein",15,3,25.8888888888889,-0.741111111111111
100,0.3,30,"beta_L_shaped",1,"bhd",15,3,57.7333333333333,-0.422666666666667
100,0.3,30,"beta_L_shaped",1,"sherwin",15,3,31.8,-0.682
100,0.3,30,"beta_L_shaped",1,"nll",15,3,31.8,-0.682
100,0.3,30,"beta_L_shaped",2,"wasserstein",15,3,26.6666666666667,-0.733333333333333
100,0.3,30,"beta_L_shaped",2,"bhd",15,3,59.8444444444444,-0.401555555555556
100,0.3,30,"beta_L_shaped",2,"sherwin",15,3,29.6222222222222,-0.703777777777778
100,0.3,30,"beta_L_shaped",2,"nll",15,3,29.6222222222222,-0.703777777777778
100,0.3,30,"beta_L_shaped",3,"wasserstein",15,3,26.8260869565217,-0.731739130434783
100,0.3,30,"beta_L_shaped",3,"bhd",15,3,66.7826086956522,-0.332173913043478
100,0.3,30,"beta_L_shaped",3,"sherwin",15,3,31.7826086956522,-0.682173913043478
100,0.3,30,"beta_L_shaped",3,"nll",15,3,31.7826086956522,-0.682173913043478
100,0.3,30,"beta_L_shaped",4,"wasserstein",15,3,27.5555555555556,-0.724444444444444
100,0.3,30,"beta_L_shaped",4,"bhd",15,3,64.8666666666667,-0.351333333333333
100,0.3,30,"beta_L_shaped",4,"sherwin",15,3,28.6222222222222,-0.713777777777778
100,0.3,30,"beta_L_shaped",4,"nll",15,3,29.6666666666667,-0.703333333333333
100,0.3,30,"beta_L_shaped",5,"wasserstein",15,3,27.4444444444444,-0.725555555555556
100,0.3,30,"beta_L_shaped",5,"bhd",15,3,56.5777777777778,-0.434222222222222
100,0.3,30,"beta_L_shaped",5,"sherwin",15,3,28.2888888888889,-0.717111111111111
100,0.3,30,"beta_L_shaped",5,"nll",15,3,28.2888888888889,-0.717111111111111
100,0.3,30,"beta_L_shaped",6,"wasserstein",15,3,26.3913043478261,-0.736086956521739
100,0.3,30,"beta_L_shaped",6,"bhd",15,3,63.0434782608696,-0.369565217391304
100,0.3,30,"beta_L_shaped",6,"sherwin",15,3,31.3478260869565,-0.686521739130435
100,0.3,30,"beta_L_shaped",6,"nll",15,3,31.3478260869565,-0.686521739130435
100,0.3,30,"beta_L_shaped",7,"wasserstein",15,3,26.1739130434783,-0.738260869565217
100,0.3,30,"beta_L_shaped",7,"bhd",15,3,59.3478260869565,-0.406521739130435
100,0.3,30,"beta_L_shaped",7,"sherwin",15,3,30.5217391304348,-0.694782608695652
100,0.3,30,"beta_L_shaped",7,"nll",15,3,30.5217391304348,-0.694782608695652
100,0.3,30,"beta_L_shaped",8,"wasserstein",15,3,26.2340425531915,-0.737659574468085
100,0.3,30,"beta_L_shaped",8,"bhd",15,3,65.3191489361702,-0.346808510638298
100,0.3,30,"beta_L_shaped",8,"sherwin",15,3,31.0851063829787,-0.689148936170213
100,0.3,30,"beta_L_shaped",8,"nll",15,3,31.0851063829787,-0.689148936170213
100,0.3,30,"beta_L_shaped",9,"wasserstein",15,3,26.5531914893617,-0.734468085106383
100,0.3,30,"beta_L_shaped",9,"bhd",15,3,50.4042553191489,-0.495957446808511
100,0.3,30,"beta_L_shaped",9,"sherwin",15,3,27.9574468085106,-0.720425531914894
100,0.3,30,"beta_L_shaped",9,"nll",15,3,28.9574468085106,-0.710425531914894
100,0.3,30,"beta_L_shaped",10,"wasserstein",15,3,25.7391304347826,-0.742608695652174
100,0.3,30,"beta_L_shaped",10,"bhd",15,3,55.3913043478261,-0.446086956521739
100,0.3,30,"beta_L_shaped",10,"sherwin",15,3,29.2608695652174,-0.707391304347826
100,0.3,30,"beta_L_shaped",10,"nll",15,3,29.2608695652174,-0.707391304347826
100,0.3,30,"beta_L_shaped",11,"wasserstein",15,3,26.1111111111111,-0.738888888888889
100,0.3,30,"beta_L_shaped",11,"bhd",15,3,72.4,-0.276
100,0.3,30,"beta_L_shaped",11,"sherwin",15,3,35.4,-0.646
100,0.3,30,"beta_L_shaped",11,"nll",15,3,35.4,-0.646
100,0.3,30,"beta_L_shaped",12,"wasserstein",15,3,25.9148936170213,-0.740851063829787
100,0.3,30,"beta_L_shaped",12,"bhd",15,3,65.936170212766,-0.34063829787234
100,0.3,30,"beta_L_shaped",12,"sherwin",15,3,33,-0.67
100,0.3,30,"beta_L_shaped",12,"nll",15,3,33,-0.67
100,0.3,30,"beta_L_shaped",13,"wasserstein",15,3,26.5555555555556,-0.734444444444444
100,0.3,30,"beta_L_shaped",13,"bhd",15,3,63.6222222222222,-0.363777777777778
100,0.3,30,"beta_L_shaped",13,"sherwin",15,3,31.6222222222222,-0.683777777777778
100,0.3,30,"beta_L_shaped",13,"nll",15,3,31.6222222222222,-0.683777777777778
100,0.3,30,"beta_L_shaped",14,"wasserstein",15,3,27.1818181818182,-0.728181818181818
100,0.3,30,"beta_L_shaped",14,"bhd",15,3,61.7272727272727,-0.382727272727273
100,0.3,30,"beta_L_shaped",14,"sherwin",15,3,29.3636363636364,-0.706363636363636
100,0.3,30,"beta_L_shaped",14,"nll",15,3,29.3636363636364,-0.706363636363636
100,0.3,30,"beta_L_shaped",15,"wasserstein",15,3,26.3333333333333,-0.736666666666667
100,0.3,30,"beta_L_shaped",15,"bhd",15,3,65.3333333333333,-0.346666666666667
100,0.3,30,"beta_L_shaped",15,"sherwin",15,3,32.4666666666667,-0.675333333333333
